,runUser,idleNode,pendJob,availableCore,nodeuprate,offNode,cpuutil,pendCore,allJob,runJob,occupyNode,closedNode,allNode,reserveNode,nodeutil,usercount,runCore,penduser,activeUser,label
0,36,371,68,20750,98.49,14,52.65,2485,378,310,494,51,930,0,53.93,0,10925,17,47,0
1,38,349,67,20750,98.49,14,55.27,2005,377,310,517,50,930,0,56.44,0,11469,16,48,0
2,36,356,69,20750,98.49,14,55.7,2341,377,308,511,49,930,0,55.79,0,11557,18,46,0
3,35,362,68,20770,98.6,13,55.03,2261,373,305,503,52,930,0,54.85,0,11429,17,45,0
4,37,334,68,20770,98.6,13,58.38,2261,379,311,533,50,930,0,58.12,0,12125,17,47,0
5,37,335,56,20770,98.6,13,58.15,2021,365,309,532,50,930,0,58.02,0,12077,17,47,0
6,37,317,48,20750,98.49,14,60.09,2161,360,312,549,50,930,0,59.93,0,12469,18,47,0
7,36,332,48,20750,98.49,14,58.65,1865,356,308,535,49,930,0,58.41,0,12169,18,46,0
8,36,339,47,20750,98.49,14,57.74,1845,355,308,528,49,930,0,57.64,0,11982,18,46,0
9,36,341,47,20750,98.49,14,57.51,1845,353,306,524,51,930,0,57.21,0,11934,18,46,0
10,37,342,47,20750,98.49,14,57.39,1845,352,305,523,51,930,0,57.1,0,11909,18,47,0
11,37,342,47,20726,98.39,15,57.46,1845,352,305,523,50,930,0,57.16,0,11909,18,47,0
12,37,346,47,20726,98.39,15,56.93,1845,350,303,518,51,930,0,56.61,0,11800,18,47,0
13,36,365,47,20750,98.49,14,54.82,1845,334,287,501,50,930,0,54.69,0,11376,18,46,0
14,37,380,47,20750,98.49,14,53.05,1845,317,270,484,52,930,0,52.84,0,11008,18,48,0
15,37,403,46,20750,98.49,14,50.39,1805,292,246,459,54,930,0,50.11,0,10456,17,48,0
16,36,435,46,20750,98.49,14,46.69,1805,265,219,432,49,930,0,47.16,0,9688,17,47,0
17,35,438,45,20750,98.49,14,44.07,1705,240,195,403,75,930,0,44,0,9144,16,46,0
18,35,473,45,20654,98.06,18,42.76,1705,227,182,387,52,930,0,42.43,0,8832,16,46,0
19,35,471,44,20726,98.39,15,41.8,1681,218,174,377,67,930,0,41.2,0,8664,15,45,0
20,36,494,43,20726,98.39,15,40.07,1657,202,159,365,56,930,0,39.89,0,8304,15,45,0
21,36,501,42,20606,97.85,20,39.25,1637,192,150,357,52,930,0,39.23,0,8088,15,45,0
22,35,508,42,20726,98.39,15,38.43,1637,190,148,353,54,930,0,38.58,0,7964,15,44,0
23,34,541,42,20678,98.17,17,35.92,1637,188,146,313,59,930,0,34.28,0,7428,15,43,0
24,34,548,41,20750,98.49,14,35.45,1613,187,146,314,54,930,0,34.28,0,7356,14,43,0
25,35,542,40,20750,98.49,14,36.26,1565,188,148,324,50,930,0,35.37,0,7524,14,44,0
26,36,542,41,20750,98.49,14,36.38,1589,190,149,324,50,930,0,35.37,0,7548,15,46,0
27,36,541,49,20750,98.49,14,36.53,1673,201,152,325,50,930,0,35.48,0,7580,15,45,0
28,38,536,49,20706,98.28,16,36.78,1673,202,153,328,50,930,0,35.89,0,7616,15,47,0
29,36,538,50,20706,98.28,16,36.57,1693,201,151,324,52,930,0,35.45,0,7572,16,45,0
30,37,541,51,20706,98.28,16,36.22,1717,201,150,321,52,930,0,35.12,0,7500,16,46,0
31,38,531,51,20682,98.17,17,37.23,1717,203,152,332,50,930,0,36.36,0,7700,16,47,0
32,39,523,51,20702,98.28,16,38.06,1717,208,157,337,54,930,0,36.87,0,7880,16,48,0
33,39,524,49,20726,98.39,15,38.02,1677,206,157,338,53,930,0,36.94,0,7880,16,48,0
34,39,523,49,20726,98.39,15,38.25,1677,207,158,343,49,930,0,37.49,0,7928,16,48,0
35,39,523,49,20726,98.39,15,38.25,1677,207,158,342,50,930,0,37.38,0,7928,16,48,0
36,39,522,49,20726,98.39,15,38.37,1677,208,159,341,52,930,0,37.27,0,7952,16,48,0
37,41,509,49,20726,98.39,15,39.57,1677,210,161,356,50,930,0,38.91,0,8202,16,50,0
38,41,516,49,20726,98.39,15,38.92,1677,209,160,347,52,930,0,37.92,0,8066,16,50,0
39,40,536,49,20726,98.39,15,37.02,1677,204,155,329,50,930,0,35.96,0,7672,16,49,0
40,41,524,48,20726,98.39,15,38.11,1653,204,156,340,51,930,0,37.16,0,7898,16,50,0
41,41,525,34,20726,98.39,15,38.11,1373,190,156,340,50,930,0,37.16,0,7898,15,50,0
42,40,544,33,20726,98.39,15,36.23,1353,180,147,320,51,930,0,34.97,0,7508,14,48,0
43,41,541,35,20706,98.28,16,36.38,1433,183,148,323,50,930,0,35.34,0,7532,15,49,0
44,41,525,35,20706,98.28,16,38.02,1433,200,165,339,50,930,0,37.09,0,7872,15,49,0
45,41,523,34,20706,98.28,16,38.21,1409,200,166,340,51,930,0,37.2,0,7912,15,49,0
46,39,524,33,20706,98.28,16,38,1369,198,165,340,50,930,0,37.2,0,7868,15,47,0
47,39,526,33,20726,98.39,15,37.96,1369,198,165,340,49,930,0,37.16,0,7868,15,47,0
48,37,523,33,20726,98.39,15,38.31,1369,196,163,341,51,930,0,37.27,0,7940,15,45,0
49,36,527,31,20726,98.39,15,36.78,1357,194,163,337,51,930,0,36.83,0,7624,14,43,0
50,36,528,30,20726,98.39,15,36.78,1333,193,163,338,49,930,0,36.94,0,7624,14,43,0
51,36,528,30,20726,98.39,15,36.78,1333,193,163,336,51,930,0,36.72,0,7624,14,43,0
52,36,528,30,20726,98.39,15,36.78,1333,193,163,338,49,930,0,36.94,0,7624,14,43,0
