,runUser,idleNode,pendJob,availableCore,nodeuprate,offNode,cpuutil,pendCore,allJob,runJob,occupyNode,closedNode,allNode,reserveNode,nodeutil,usercount,runCore,penduser,activeUser,label
0,29,52,155,6996,98.82,5,76.16,3219,578,423,304,0,425,0,72.38,0,5328,16,31,0
1,29,52,161,6996,98.82,5,76.16,4454,584,423,304,0,425,0,72.38,0,5328,16,32,0
2,29,52,164,6996,98.82,5,76.1,4489,586,422,304,0,425,0,72.38,0,5324,16,32,0
3,29,52,161,6996,98.82,5,76.1,3349,583,422,304,0,425,0,72.38,0,5324,17,32,0
4,28,53,168,6996,98.82,5,76.04,4535,595,427,303,0,425,0,72.14,0,5320,17,32,0
5,27,54,168,6996,98.82,5,76.3,3529,596,428,302,0,425,0,71.9,0,5338,17,32,0
6,27,51,203,6996,98.82,5,76.73,4619,631,428,304,0,425,0,72.38,0,5368,16,31,0
7,27,52,205,6996,98.82,5,76.64,4046,630,425,303,0,425,0,72.14,0,5362,16,32,0
8,28,51,197,6996,98.82,5,76.52,3286,618,421,303,0,425,0,72.14,0,5353,16,33,0
9,28,51,195,6996,98.82,5,76.52,4452,616,421,303,0,425,0,72.14,0,5353,15,32,0
10,28,54,260,6996,98.82,5,75.97,4409,677,417,301,0,425,0,71.67,0,5315,17,33,0
11,27,55,331,6996,98.82,5,75.91,4720,747,416,301,0,425,0,71.67,0,5311,16,32,0
12,27,52,323,6996,98.82,5,76.6,3370,739,416,304,0,425,0,72.38,0,5359,16,32,0
13,26,52,331,6996,98.82,5,76.59,4670,746,415,304,0,425,0,72.38,0,5358,17,32,0
14,26,54,353,6996,98.82,5,76.13,5245,767,414,302,0,425,0,71.9,0,5326,17,31,0
15,26,54,351,6996,98.82,5,76.11,5261,764,413,302,0,425,0,71.9,0,5325,17,31,0
16,26,54,353,6996,98.82,5,76.11,5357,766,413,302,0,425,0,71.9,0,5325,17,31,0
17,26,54,353,6996,98.82,5,76.11,5310,766,413,302,0,425,0,71.9,0,5325,18,32,0
18,26,54,350,6996,98.82,5,76.11,5182,763,413,302,0,425,0,71.9,0,5325,18,32,0
19,27,42,358,6996,98.82,5,78.63,4623,783,425,314,0,425,0,74.76,0,5501,19,32,0
20,27,42,352,6996,98.82,5,78.63,5374,777,425,314,0,425,0,74.76,0,5501,18,32,0
21,28,41,352,6996,98.82,5,78.64,5440,778,426,314,0,425,0,74.76,0,5502,19,33,0
22,28,39,366,6996,98.82,5,79.1,5616,792,426,316,0,425,0,75.24,0,5534,18,33,0
23,28,40,369,6996,98.82,5,78.87,4672,794,425,315,0,425,0,75,0,5518,18,33,0
24,28,42,367,6996,98.82,5,78.42,4640,790,423,313,0,425,0,74.52,0,5486,18,33,0
25,28,39,368,6996,98.82,5,78.87,4688,794,426,316,0,425,0,75.24,0,5518,18,33,0
26,28,40,370,6996,98.82,5,78.64,4736,795,425,315,0,425,0,75,0,5502,19,33,0
27,28,42,365,6996,98.82,5,77.96,5888,788,423,314,0,425,0,74.76,0,5454,19,33,0
28,28,39,367,6996,98.82,5,78.87,5841,793,426,316,0,425,0,75.24,0,5518,19,34,0
29,29,31,368,6996,98.82,5,80.7,4721,795,427,324,0,425,0,77.14,0,5646,19,35,0
30,29,32,368,6996,98.82,5,80.47,5921,794,426,323,0,425,0,76.9,0,5630,20,35,0
31,29,31,368,6996,98.82,5,80.7,5969,795,427,324,0,425,0,77.14,0,5646,20,35,0
32,29,31,365,6996,98.82,5,80.7,4673,792,427,324,0,425,0,77.14,0,5646,19,35,0
33,30,36,365,6996,98.82,5,79.56,5798,787,422,319,0,425,0,75.95,0,5566,18,35,0
34,28,43,367,6996,98.82,5,77.96,4534,782,415,312,0,425,0,74.29,0,5454,18,34,0
35,27,51,366,6996,98.82,5,76.13,5878,780,414,304,0,425,0,72.38,0,5326,19,33,0
36,27,51,364,6996,98.82,5,76.13,4534,778,414,304,0,425,0,72.38,0,5326,18,32,0
37,27,54,375,6996,98.82,5,75.66,6007,787,412,302,0,425,0,71.9,0,5293,18,32,0
38,27,54,380,6996,98.82,5,75.66,4936,792,412,302,0,425,0,71.9,0,5293,18,32,0
39,27,54,379,6996,98.82,5,75.66,4935,791,412,302,0,425,0,71.9,0,5293,18,32,0
40,27,54,380,6996,98.82,5,75.66,6183,792,412,302,0,425,0,71.9,0,5293,19,32,0
41,27,53,377,6996,98.82,5,75.89,4903,789,412,303,0,425,0,72.14,0,5309,19,32,0
42,27,53,375,6996,98.82,5,75.89,4823,787,412,303,0,425,0,72.14,0,5309,18,32,0
43,27,53,380,6996,98.82,5,75.87,4899,791,411,303,0,425,0,72.14,0,5308,19,32,0
44,27,53,381,6996,98.82,5,75.87,5927,792,411,303,0,425,0,72.14,0,5308,20,34,0
45,27,53,379,6996,98.82,5,75.87,6087,790,411,303,0,425,0,72.14,0,5308,20,33,0
46,60,51,166,9984,100,0,86.61,3301,562,396,365,0,416,0,87.74,0,8647,30,72,0
47,27,53,381,6996,98.82,5,75.87,4983,792,411,303,0,425,0,72.14,0,5308,20,33,0
48,27,52,382,6996,98.82,5,76.09,6190,793,411,304,0,425,0,72.38,0,5323,21,33,0
49,27,53,379,6996,98.82,5,75.86,6103,789,410,303,0,425,0,72.14,0,5307,19,33,0
50,27,53,379,6996,98.82,5,75.63,6407,788,409,304,0,425,0,72.38,0,5291,20,33,0
51,27,51,377,6996,98.82,5,76.3,6104,787,410,305,0,425,0,72.62,0,5338,20,33,0
52,25,56,385,6996,98.82,5,75.37,6056,791,406,301,0,425,0,71.67,0,5273,22,33,0
53,25,56,378,6996,98.82,5,75.36,4839,783,405,301,0,425,0,71.67,0,5272,19,31,0
54,25,55,380,6996,98.82,5,75.36,4855,784,404,303,0,425,0,72.14,0,5272,20,31,0
55,25,54,382,6996,98.82,5,75.8,4894,786,404,303,0,425,0,72.14,0,5303,21,31,0
56,25,54,379,6996,98.82,5,75.8,6071,783,404,303,0,425,0,72.14,0,5303,20,31,0
57,25,54,378,6996,98.82,5,75.8,4839,782,404,303,0,425,0,72.14,0,5303,20,31,0
58,25,54,376,6996,98.82,5,75.8,6023,780,404,303,0,425,0,72.14,0,5303,20,31,0
59,25,54,372,6996,98.82,5,75.8,4695,776,404,303,0,425,0,72.14,0,5303,19,31,0
60,25,56,383,6996,98.82,5,75.33,6072,785,402,303,0,425,0,72.14,0,5270,21,31,0
61,25,55,381,6996,98.82,5,75.79,4903,784,403,303,0,425,0,72.14,0,5302,20,31,0
62,25,57,380,6996,98.82,5,75.33,6087,782,402,301,0,425,0,71.67,0,5270,20,31,0
