,casnw.csv,dicp.csv,era.csv,erai.csv,gspcc.csv,hku.csv,hust.csv,iapcm.csv,nscccs.csv,nsccgz.csv,nsccjn.csv,nscctj.csv,nsccwx.csv,siat.csv,sjtu.csv,ssc.csv,ustc.csv,xjtu.csv,label_all
0,63.67,60.33,52.65,63.28,3.57,0.78,86.47,90.29,53.34,99.46,0.0,93.28,55.32,46.87,76.16,88.01,73.38,0.0,0.0
1,66.41,60.81,55.27,63.57,3.57,0.78,86.47,89.7,54.24,99.46,0.0,95.16,54.37,46.87,76.16,88.01,73.12,0.0,0.0
2,66.41,60.33,55.7,63.28,3.57,0.78,85.44,89.12,50.65,99.94,0.0,95.7,51.93,46.87,76.1,88.01,72.95,0.0,0.0
3,63.67,60.82,55.03,63.28,3.57,0.78,85.44,88.54,51.87,99.4,0.0,95.97,54.87,46.87,76.1,87.95,74.01,0.0,0.0
4,63.67,60.82,58.38,63.57,3.57,0.78,84.41,93.19,50.68,99.46,0.0,95.43,30.99,46.87,76.04,87.93,72.6,0.0,0.0
5,76.17,60.33,58.15,63.18,3.57,0.78,86.47,96.1,51.9,99.4,0.0,95.16,29.39,46.87,76.3,87.45,74.7,0.0,0.0
6,79.3,59.92,60.09,63.18,3.57,0.78,87.44,96.1,50.65,97.36,0.0,94.09,42.57,46.87,76.73,87.93,74.16,0.0,0.0
7,79.3,60.33,58.65,63.18,3.57,0.78,88.4,96.1,50.46,96.87,0.0,95.16,40.36,46.87,76.64,87.93,72.74,0.0,0.0
8,79.3,61.33,57.74,63.18,3.57,0.78,89.37,95.49,51.93,96.94,0.0,93.82,37.63,46.87,76.52,87.93,71.62,0.0,0.0
9,79.3,60.33,57.51,63.18,3.57,0.78,88.27,95.49,50.46,96.94,0.0,95.7,37.67,46.87,76.52,87.93,71.88,0.0,0.0
10,79.3,60.31,57.39,63.18,3.57,0.78,86.21,95.49,51.74,91.59,0.0,95.7,36.42,46.87,75.97,87.09,72.92,0.0,0.0
11,77.73,60.82,57.46,63.18,3.57,0.78,86.21,95.49,51.74,92.06,0.0,95.7,36.82,46.87,75.91,87.09,72.4,0.0,0.0
12,77.73,60.82,56.93,63.18,3.57,0.78,86.15,95.49,54.88,89.08,0.0,95.43,39.58,46.87,76.6,86.57,73.0,0.0,0.0
13,77.73,61.2,54.82,63.18,3.57,0.78,87.18,95.49,54.82,88.77,0.0,94.62,39.59,46.87,76.59,86.57,71.62,0.0,0.0
14,76.17,60.33,53.05,60.85,3.57,0.78,85.12,95.49,54.82,88.24,0.0,95.43,40.64,46.87,76.13,86.45,71.27,0.0,0.0
15,76.17,60.82,50.39,60.85,3.57,0.78,83.05,95.49,54.88,87.82,0.0,95.43,39.36,46.87,76.11,86.57,71.45,0.0,0.0
16,76.17,61.33,46.69,60.85,3.57,0.78,83.05,95.49,55.2,91.53,0.0,93.28,40.67,46.87,76.11,86.3,71.45,0.0,0.0
17,73.83,61.2,44.07,60.85,3.57,0.78,79.96,94.91,55.08,90.07,0.0,93.28,40.67,46.87,76.11,86.54,71.45,0.0,0.0
18,73.83,60.82,42.76,60.85,3.57,0.78,76.87,94.89,54.88,90.8,0.0,91.4,40.85,46.87,76.11,86.3,71.45,0.0,0.0
19,73.83,60.82,41.8,60.85,3.57,0.78,85.12,94.89,54.18,91.22,0.0,95.43,40.84,46.87,78.63,86.48,72.25,0.0,0.0
20,73.83,61.2,40.07,60.85,3.57,0.78,85.12,94.89,54.37,93.36,0.0,95.43,40.83,46.87,78.63,86.24,72.25,0.0,0.0
21,73.83,60.82,39.25,60.85,3.57,0.78,85.12,94.89,54.31,92.53,0.0,93.01,40.91,46.87,78.64,86.24,72.77,0.0,0.0
22,73.05,60.82,38.43,60.85,3.57,0.78,87.18,94.91,60.65,91.63,0.0,88.71,42.17,46.87,79.1,86.48,73.12,0.0,0.0
23,70.7,61.33,35.92,60.85,3.57,0.78,85.12,94.91,55.08,90.84,0.0,93.01,41.06,46.87,78.87,86.48,72.95,0.0,0.0
24,70.7,61.33,35.45,60.85,3.57,0.78,85.12,94.89,55.08,88.71,0.0,92.99,39.38,46.87,78.42,86.48,71.73,0.0,0.0
25,69.14,60.26,36.26,60.85,3.57,0.78,84.02,94.89,55.72,92.36,0.0,94.62,35.45,46.87,78.87,86.48,71.73,0.0,0.0
26,69.14,60.82,36.38,60.85,3.57,0.78,84.02,94.89,55.85,93.69,0.0,95.7,35.58,46.87,78.64,86.48,72.97,0.0,0.0
27,69.14,61.2,36.53,60.85,3.57,0.78,81.96,94.89,55.65,93.79,0.0,95.7,34.21,46.87,77.96,86.48,72.97,0.0,0.0
28,69.14,61.2,36.78,60.76,3.57,0.78,81.96,94.89,56.17,93.42,0.0,94.35,35.48,46.87,78.87,86.46,72.25,0.0,0.0
29,69.14,60.7,36.57,60.76,3.57,0.78,81.96,94.89,57.7,87.99,0.0,95.7,34.85,46.87,80.7,86.46,72.08,0.0,0.0
30,67.58,60.7,36.22,60.76,3.57,0.78,81.96,94.86,57.13,93.54,0.0,93.82,34.85,46.87,80.47,86.46,72.08,0.0,0.0
31,67.58,61.32,37.23,60.76,3.57,0.78,81.96,94.86,58.35,90.01,0.0,95.16,34.82,46.87,80.7,86.46,72.08,0.0,0.0
32,67.58,61.32,38.06,60.76,3.57,0.78,81.96,94.86,57.7,90.38,0.0,94.35,34.88,46.87,80.7,86.22,72.14,0.0,0.0
33,67.58,60.7,38.02,60.76,3.57,0.78,80.93,94.86,57.58,95.35,0.0,95.7,36.2,46.87,79.56,86.46,72.77,0.0,0.0
34,67.58,60.7,38.25,60.76,3.57,0.78,80.93,95.45,57.7,93.22,0.0,95.7,51.02,46.87,77.96,86.45,72.77,0.0,0.0
35,67.58,61.07,38.25,60.76,3.57,0.78,79.9,95.45,58.6,92.2,0.0,95.16,56.94,46.87,76.13,86.45,72.95,0.0,0.0
36,66.02,61.44,38.37,60.76,3.57,0.78,84.02,95.42,58.92,91.56,0.0,94.89,54.34,46.87,76.13,86.45,73.03,0.0,0.0
37,66.02,60.42,39.57,60.76,3.57,0.78,82.99,95.42,58.15,89.83,0.0,93.28,42.35,46.87,75.66,86.45,72.69,0.0,0.0
38,66.02,60.81,38.92,60.76,3.57,0.78,81.89,95.42,58.28,86.09,0.0,89.78,55.11,46.87,75.66,86.45,73.38,0.0,0.0
39,64.45,60.7,37.02,60.76,3.57,0.78,80.86,95.42,58.67,84.32,0.0,90.05,58.98,46.87,75.66,86.45,73.21,0.0,0.0
40,64.45,60.7,38.11,60.76,3.57,0.78,80.8,95.42,59.69,86.32,0.0,95.7,58.16,46.87,75.66,86.45,73.21,0.0,0.0
41,64.45,60.39,38.11,60.76,3.57,0.78,78.74,95.42,60.33,85.63,0.0,95.97,59.98,46.87,75.89,86.45,72.34,0.0,0.0
42,64.45,60.7,36.23,60.76,3.57,0.78,78.74,95.42,60.27,87.94,0.0,95.97,62.87,46.87,75.89,86.45,73.21,0.0,0.0
43,62.89,60.2,36.38,60.76,3.57,0.78,78.74,95.42,60.27,89.12,0.0,95.7,56.27,46.87,75.87,86.45,72.51,0.0,0.0
44,61.33,60.7,38.02,60.76,3.57,0.78,79.56,95.42,59.44,88.69,0.0,95.43,60.18,46.87,75.87,86.45,71.82,0.0,0.0
45,59.77,60.7,38.21,60.76,3.57,0.78,79.49,95.42,59.44,89.77,0.0,95.7,54.82,46.87,75.87,86.45,71.82,0.0,0.0
46,60.55,3.15,38.0,3.57,0.78,77.41,95.42,59.24,89.27,0.0,95.97,54.81,46.87,75.41,86.61,71.99,0.0,58.2,10.0
47,58.2,61.2,37.96,60.76,3.57,0.78,76.37,95.42,61.17,89.81,0.0,95.97,59.99,46.87,75.87,86.36,71.99,0.0,0.0
48,58.2,60.7,38.31,60.76,3.57,0.78,75.33,95.42,61.04,89.32,0.0,95.7,57.42,46.87,76.09,86.6,72.51,0.0,0.0
49,58.2,60.2,36.78,60.76,3.57,0.78,73.24,96.0,61.04,88.66,0.0,95.7,57.43,46.87,75.86,86.4,71.99,0.0,0.0
50,58.2,60.55,36.78,60.76,3.57,0.78,73.24,96.0,61.04,92.66,0.0,94.62,57.42,46.87,75.63,86.64,71.47,0.0,0.0
51,58.2,60.7,36.78,60.76,3.57,0.78,72.2,96.0,60.97,92.72,0.0,94.62,57.42,46.87,76.3,86.64,71.47,0.0,0.0
52,58.2,60.2,36.78,60.76,3.57,0.78,70.12,96.0,60.97,91.68,0.0,91.94,57.42,46.87,75.37,86.65,71.47,0.0,0.0
53,58.2,61.2,36.78,60.76,3.57,0.78,70.12,96.0,62.13,90.09,0.0,91.13,57.42,46.87,75.36,93.98,71.47,0.0,0.0
54,58.2,60.2,36.78,60.76,3.57,0.78,70.12,96.0,62.13,94.19,0.0,88.98,57.42,46.87,75.36,94.22,71.47,0.0,0.0
55,58.2,56.12,36.78,60.76,3.57,0.78,70.12,96.0,62.13,91.51,0.0,90.59,57.46,46.87,75.8,93.98,71.47,0.0,0.0
56,58.2,56.38,37.46,60.76,3.57,0.78,70.12,94.84,62.06,89.59,0.0,92.2,57.11,46.87,75.8,94.21,71.3,0.0,0.0
57,58.2,56.12,37.05,60.76,3.57,0.78,70.12,94.84,62.06,89.64,0.0,95.7,57.11,46.87,75.8,92.51,71.13,0.0,0.0
58,58.2,53.06,36.48,60.76,3.57,0.78,70.12,94.84,61.81,87.84,0.0,92.74,57.82,46.87,75.8,92.12,71.13,0.0,0.0
59,58.2,53.48,35.95,60.76,3.57,0.78,69.08,95.32,61.62,86.9,0.0,92.74,57.82,46.87,75.8,91.83,71.22,0.0,0.0
60,58.2,53.06,35.84,60.76,3.57,0.78,69.08,95.32,62.0,84.19,0.0,92.74,57.82,46.87,75.33,91.54,70.87,0.0,0.0
