,runUser,idleNode,pendJob,availableCore,nodeuprate,offNode,cpuutil,pendCore,allJob,runJob,occupyNode,closedNode,allNode,reserveNode,nodeutil,usercount,runCore,penduser,activeUser,label
0,45,719,86,18716,75.62,500,53.34,4200,330,244,832,0,2051,0,53.64,0,9984,16,47,0
1,46,705,79,18716,75.62,500,54.24,4104,323,244,846,0,2051,0,54.55,0,10152,16,48,0
2,45,761,89,18716,75.62,500,50.65,4680,330,241,790,0,2051,0,50.93,0,9480,20,48,0
3,45,742,86,18716,75.62,500,51.87,4476,326,240,809,0,2051,0,52.16,0,9708,16,47,0
4,45,761,84,18728,75.67,499,50.68,4032,324,240,791,0,2051,0,50.97,0,9492,15,47,0
5,45,742,84,18728,75.67,499,51.9,4176,327,243,810,0,2051,0,52.19,0,9720,16,47,0
6,45,761,78,18716,75.62,500,50.65,3912,320,242,790,0,2051,0,50.93,0,9480,16,47,0
7,45,764,79,18716,75.62,500,50.46,3924,318,239,787,0,2051,0,50.74,0,9444,18,47,0
8,46,741,75,18716,75.62,500,51.93,3924,316,241,810,0,2051,0,52.22,0,9720,16,48,0
9,45,764,74,18716,75.62,500,50.46,3972,312,238,787,0,2051,0,50.74,0,9444,17,48,0
10,46,744,71,18716,75.62,500,51.74,3972,311,240,807,0,2051,0,52.03,0,9684,15,48,0
11,47,744,74,18716,75.62,500,51.74,4224,313,239,807,0,2051,0,52.03,0,9684,18,49,0
12,47,695,71,18716,75.62,500,54.88,3732,312,241,856,0,2051,0,55.19,0,10272,16,49,0
13,46,696,69,18716,75.62,500,54.82,3888,309,240,855,0,2051,0,55.13,0,10260,15,48,0
14,45,696,72,18716,75.62,500,54.82,3528,313,241,855,0,2051,0,55.13,0,10260,14,47,0
15,45,695,73,18716,75.62,500,54.88,3624,314,241,856,0,2051,0,55.19,0,10272,14,47,0
16,46,690,72,18716,75.62,500,55.2,3492,314,242,861,0,2051,0,55.51,0,10332,15,49,0
17,46,692,74,18716,75.62,500,55.08,3613,315,241,859,0,2051,0,55.38,0,10308,15,49,0
18,45,695,74,18716,75.62,500,54.88,4092,314,240,856,0,2051,0,55.19,0,10272,16,48,0
19,45,706,71,18716,75.62,500,54.18,3468,308,237,845,0,2051,0,54.48,0,10140,13,47,0
20,45,703,70,18716,75.62,500,54.37,3456,310,240,848,0,2051,0,54.67,0,10176,14,47,0
21,45,704,67,18716,75.62,500,54.31,3372,308,241,847,0,2051,0,54.61,0,10164,14,47,0
22,45,605,80,18716,75.62,500,60.65,5652,329,249,946,0,2051,0,60.99,0,11352,13,47,0
23,46,692,80,18716,75.62,500,55.08,4164,315,235,859,0,2051,0,55.38,0,10308,14,49,0
24,45,692,74,18716,75.62,500,55.08,3480,307,233,859,0,2051,0,55.38,0,10308,15,49,0
25,46,682,78,18716,75.62,500,55.72,3624,312,234,869,0,2051,0,56.03,0,10428,15,50,0
26,46,680,85,18716,75.62,500,55.85,4536,319,234,871,0,2051,0,56.16,0,10452,15,48,0
27,45,683,80,18716,75.62,500,55.65,4044,315,235,868,0,2051,0,55.96,0,10416,13,48,0
28,47,675,83,18716,75.62,500,56.17,4296,325,242,876,0,2051,0,56.48,0,10512,17,50,0
29,47,651,80,18716,75.62,500,57.7,3992,323,243,900,0,2051,0,58.03,0,10800,15,49,0
30,45,660,76,18716,75.62,500,57.13,3716,319,243,891,0,2051,0,57.45,0,10692,14,47,0
31,46,641,78,18716,75.62,500,58.35,3848,322,244,910,0,2051,0,58.67,0,10920,14,48,0
32,46,651,80,18716,75.62,500,57.7,3969,323,243,900,0,2051,0,58.03,0,10800,15,48,0
33,46,653,81,18716,75.62,500,57.58,4004,323,242,898,0,2051,0,57.9,0,10776,15,48,0
34,46,651,82,18716,75.62,500,57.7,3921,324,242,900,0,2051,0,58.03,0,10800,15,48,0
35,46,637,83,18716,75.62,500,58.6,4065,328,245,914,0,2051,0,58.93,0,10968,16,48,0
36,46,632,85,18716,75.62,500,58.92,4112,328,243,919,0,2051,0,59.25,0,11028,17,48,0
37,46,644,78,18716,75.62,500,58.15,3740,318,240,907,0,2051,0,58.48,0,10884,15,48,0
38,46,642,79,18716,75.62,500,58.28,3764,321,242,909,0,2051,0,58.61,0,10908,16,48,0
39,46,636,75,18716,75.62,500,58.67,3632,320,245,915,0,2051,0,58.99,0,10980,15,48,0
40,46,620,75,18716,75.62,500,59.69,3536,328,253,931,0,2051,0,60.03,0,11172,14,48,0
41,46,610,75,18716,75.62,500,60.33,3536,333,258,941,0,2051,0,60.67,0,11292,14,48,0
42,46,611,74,18716,75.62,500,60.27,3524,331,257,940,0,2051,0,60.61,0,11280,14,48,0
43,46,611,74,18716,75.62,500,60.27,3776,331,257,940,0,2051,0,60.61,0,11280,14,48,0
44,46,624,74,18716,75.62,500,59.44,3512,328,254,927,0,2051,0,59.77,0,11124,14,48,0
45,46,624,76,18716,75.62,500,59.44,3536,330,254,927,0,2051,0,59.77,0,11124,15,49,0
46,3,196,7,43824,54.87,1502,89.27,720,22,15,1630,0,3328,0,89.27,0,39120,1,3,1
47,46,597,79,18716,75.62,500,61.17,5124,334,255,954,0,2051,0,61.51,0,11448,17,50,0
48,46,599,79,18716,75.62,500,61.04,5124,333,254,952,0,2051,0,61.38,0,11424,17,50,0
49,46,599,79,18716,75.62,500,61.04,5244,333,254,952,0,2051,0,61.38,0,11424,17,50,0
50,46,599,78,18716,75.62,500,61.04,5100,332,254,952,0,2051,0,61.38,0,11424,17,50,0
51,46,600,78,18716,75.62,500,60.97,5100,331,253,951,0,2051,0,61.32,0,11412,17,50,0
52,46,600,78,18716,75.62,500,60.97,5100,331,253,951,0,2051,0,61.32,0,11412,17,50,0
53,49,582,77,18716,75.62,500,62.13,5484,351,274,969,0,2051,0,62.48,0,11628,17,51,0
54,49,582,75,18716,75.62,500,62.13,5076,349,274,969,0,2051,0,62.48,0,11628,16,51,0
55,49,582,73,18716,75.62,500,62.13,5052,347,274,969,0,2051,0,62.48,0,11628,15,51,0
56,49,583,73,18716,75.62,500,62.06,5052,346,273,968,0,2051,0,62.41,0,11616,15,51,0
57,49,583,73,18716,75.62,500,62.06,5052,346,273,968,0,2051,0,62.41,0,11616,15,51,0
58,49,587,74,18716,75.62,500,61.81,5100,345,271,964,0,2051,0,62.15,0,11568,16,51,0
59,49,590,74,18716,75.62,500,61.62,5064,343,269,961,0,2051,0,61.96,0,11532,16,51,0
60,48,584,73,18716,75.62,500,62,5124,341,268,967,0,2051,0,62.35,0,11604,16,51,0
61,48,584,70,18716,75.62,500,62,4920,338,268,967,0,2051,0,62.35,0,11604,15,50,0
62,48,586,71,18716,75.62,500,61.87,5328,338,267,965,0,2051,0,62.22,0,11580,16,50,0
63,48,586,70,18716,75.62,500,61.87,4920,337,267,965,0,2051,0,62.22,0,11580,15,50,0
64,48,586,70,18716,75.62,500,61.87,4920,337,267,965,0,2051,0,62.22,0,11580,15,50,0
65,48,589,72,18716,75.62,500,61.68,5352,337,265,962,0,2051,0,62.02,0,11544,17,50,0
66,49,591,65,18716,75.62,500,61.55,4608,330,265,960,0,2051,0,61.9,0,11520,14,50,0
67,49,591,65,18716,75.62,500,61.55,4608,330,265,960,0,2051,0,61.9,0,11520,14,50,0
68,49,591,65,18716,75.62,500,61.55,4608,330,265,960,0,2051,0,61.9,0,11520,14,50,0
