,runUser,idleNode,pendJob,availableCore,nodeuprate,offNode,cpuutil,pendCore,allJob,runJob,occupyNode,closedNode,allNode,reserveNode,nodeutil,usercount,runCore,penduser,activeUser,label
0,3,9,1,39936,50,1664,99.46,552,13,12,1655,0,3328,0,99.46,0,39720,1,3,0
1,3,9,4,39912,49.97,1665,99.46,624,16,12,1654,0,3328,0,99.46,0,39696,1,3,0
2,3,1,6,39936,50,1664,99.94,648,17,11,1663,0,3328,0,99.94,0,39912,1,3,0
3,3,10,5,39936,50,1664,99.4,600,16,11,1654,0,3328,0,99.4,0,39696,1,3,0
4,3,9,5,39936,50,1664,99.46,552,15,10,1655,0,3328,0,99.46,0,39720,1,3,0
5,3,10,5,39936,50,1664,99.4,552,15,10,1654,0,3328,0,99.4,0,39696,1,3,0
6,3,44,1,39936,50,1664,97.36,552,15,14,1620,0,3328,0,97.36,0,38880,1,3,0
7,3,52,1,39936,50,1664,96.87,552,15,14,1612,0,3328,0,96.87,0,38688,1,3,0
8,3,51,1,39936,50,1664,96.94,552,15,14,1613,0,3328,0,96.94,0,38712,1,3,0
9,3,51,1,39936,50,1664,96.94,552,15,14,1613,0,3328,0,96.94,0,38712,1,3,0
10,3,161,1,45960,57.54,1413,91.59,552,15,14,1754,0,3328,0,91.59,0,42096,1,3,0
11,3,152,1,45936,57.51,1414,92.06,552,15,14,1762,0,3328,0,92.06,0,42288,1,3,0
12,3,209,1,45936,57.51,1414,89.08,552,15,14,1705,0,3328,0,89.08,0,40920,1,3,0
13,3,215,1,45936,57.51,1414,88.77,552,15,14,1699,0,3328,0,88.77,0,40776,1,3,0
14,3,225,1,45936,57.51,1414,88.24,552,15,14,1689,0,3328,0,88.24,0,40536,1,3,0
15,3,233,1,45912,57.48,1415,87.82,552,15,14,1680,0,3328,0,87.82,0,40320,1,3,0
16,3,162,1,45912,57.48,1415,91.53,552,15,14,1751,0,3328,0,91.53,0,42024,1,3,0
17,3,190,1,45912,57.48,1415,90.07,552,15,14,1723,0,3328,0,90.07,0,41352,1,3,0
18,3,176,1,45912,57.48,1415,90.8,552,15,14,1737,0,3328,0,90.8,0,41688,1,3,0
19,3,168,2,45912,57.48,1415,91.22,600,17,15,1745,0,3328,0,91.22,0,41880,1,3,0
20,3,127,4,45888,57.45,1416,93.36,648,19,15,1785,0,3328,0,93.36,0,42840,1,3,0
21,3,141,6,45312,56.73,1440,92.53,696,21,15,1747,0,3328,0,92.53,0,41928,1,3,0
22,3,158,7,45312,56.73,1440,91.63,720,22,15,1730,0,3328,0,91.63,0,41520,1,3,0
23,3,173,7,45312,56.73,1440,90.84,720,22,15,1715,0,3328,0,90.84,0,41160,1,3,0
24,3,213,7,45264,56.67,1442,88.71,720,22,15,1673,0,3328,0,88.71,0,40152,1,3,0
25,3,144,7,45264,56.67,1442,92.36,720,22,15,1742,0,3328,0,92.36,0,41808,1,3,0
26,3,119,7,45264,56.67,1442,93.69,720,22,15,1767,0,3328,0,93.69,0,42408,1,3,0
27,3,117,7,45240,56.64,1443,93.79,720,22,15,1768,0,3328,0,93.79,0,42432,1,3,0
28,3,124,7,45240,56.64,1443,93.42,720,22,15,1761,0,3328,0,93.42,0,42264,1,3,0
29,3,225,7,44976,56.31,1454,87.99,720,22,15,1649,0,3328,0,87.99,0,39576,1,3,0
30,3,121,7,44976,56.31,1454,93.54,720,22,15,1753,0,3328,0,93.54,0,42072,1,3,0
31,3,187,7,44928,56.25,1456,90.01,720,22,15,1685,0,3328,0,90.01,0,40440,1,3,0
32,3,180,7,44928,56.25,1456,90.38,720,22,15,1692,0,3328,0,90.38,0,40608,1,3,0
33,3,87,7,44928,56.25,1456,95.35,720,22,15,1785,0,3328,0,95.35,0,42840,1,3,0
34,3,127,7,44928,56.25,1456,93.22,720,22,15,1745,0,3328,0,93.22,0,41880,1,3,0
35,3,146,7,44928,56.25,1456,92.2,720,22,15,1726,0,3328,0,92.2,0,41424,1,3,0
36,3,158,7,44928,56.25,1456,91.56,720,22,15,1714,0,3328,0,91.56,0,41136,1,3,0
37,3,190,7,44856,56.16,1459,89.83,720,22,15,1679,0,3328,0,89.83,0,40296,1,3,0
38,3,260,7,44856,56.16,1459,86.09,720,22,15,1609,0,3328,0,86.09,0,38616,1,3,0
39,3,293,7,44856,56.16,1459,84.32,720,22,15,1576,0,3328,0,84.32,0,37824,1,3,0
40,3,255,7,44736,56.01,1464,86.32,720,22,15,1609,0,3328,0,86.32,0,38616,1,3,0
41,3,268,7,44760,56.04,1463,85.63,720,22,15,1597,0,3328,0,85.63,0,38328,1,3,0
42,3,225,7,44760,56.04,1463,87.94,720,22,15,1640,0,3328,0,87.94,0,39360,1,3,0
43,3,203,7,44760,56.04,1463,89.12,720,22,15,1662,0,3328,0,89.12,0,39888,1,3,0
44,3,211,7,44760,56.04,1463,88.69,720,22,15,1654,0,3328,0,88.69,0,39696,1,3,0
45,3,187,7,43872,54.93,1500,89.77,720,22,15,1641,0,3328,0,89.77,0,39384,1,3,0
46,0,2964,0,11733,75.64,1070,0,0,0,0,0,359,4393,0,0,0,0,0,0,1
47,3,186,7,43824,54.87,1502,89.81,720,22,15,1640,0,3328,0,89.81,0,39360,1,3,0
48,3,195,7,43800,54.84,1503,89.32,720,22,15,1630,0,3328,0,89.32,0,39120,1,3,0
49,3,207,7,43800,54.84,1503,88.66,720,22,15,1618,0,3328,0,88.66,0,38832,1,3,0
50,3,134,7,43824,54.87,1502,92.66,720,22,15,1692,0,3328,0,92.66,0,40608,1,3,0
51,3,133,7,43824,54.87,1502,92.72,720,22,15,1693,0,3328,0,92.72,0,40632,1,3,0
52,3,152,7,43824,54.87,1502,91.68,720,22,15,1674,0,3328,0,91.68,0,40176,1,3,0
53,3,181,7,43824,54.87,1502,90.09,720,22,15,1645,0,3328,0,90.09,0,39480,1,3,0
54,3,106,7,43776,54.81,1504,94.19,720,22,15,1718,0,3328,0,94.19,0,41232,1,3,0
55,3,155,7,43800,54.84,1503,91.51,720,22,15,1670,0,3328,0,91.51,0,40080,1,3,0
56,3,190,7,43800,54.84,1503,89.59,720,22,15,1635,0,3328,0,89.59,0,39240,1,3,0
57,3,189,7,43800,54.84,1503,89.64,720,22,15,1636,0,3328,0,89.64,0,39264,1,3,0
58,3,222,7,43800,54.84,1503,87.84,720,22,15,1603,0,3328,0,87.84,0,38472,1,3,0
59,3,239,7,43800,54.84,1503,86.9,720,22,15,1586,0,3328,0,86.9,0,38064,1,3,0
60,3,288,7,43728,54.75,1506,84.19,720,22,15,1534,0,3328,0,84.19,0,36816,1,3,0
61,3,294,7,43728,54.75,1506,83.86,720,22,15,1528,0,3328,0,83.86,0,36672,1,3,0
62,3,260,7,43728,54.75,1506,85.73,720,22,15,1562,0,3328,0,85.73,0,37488,1,3,0
63,3,256,7,43728,54.75,1506,85.95,720,22,15,1566,0,3328,0,85.95,0,37584,1,3,0
64,3,304,7,43728,54.75,1506,83.32,720,22,15,1518,0,3328,0,83.31,0,36432,1,3,0
65,3,267,7,43728,54.75,1506,85.35,720,22,15,1555,0,3328,0,85.35,0,37320,1,3,0
66,3,274,7,43632,54.63,1510,84.93,720,22,15,1544,0,3328,0,84.93,0,37056,1,3,0
67,3,258,7,43680,54.69,1508,85.82,720,22,15,1562,0,3328,0,85.82,0,37488,1,3,0
68,3,277,7,43680,54.69,1508,84.78,720,22,15,1543,0,3328,0,84.78,0,37032,1,3,0
69,3,307,7,43656,54.66,1509,83.12,720,22,15,1512,0,3328,0,83.12,0,36288,1,3,0
70,3,285,7,43680,54.69,1508,84.34,720,22,15,1535,0,3328,0,84.34,0,36840,1,3,0
71,3,306,7,43680,54.69,1508,83.19,720,22,15,1514,0,3328,0,83.19,0,36336,1,3,0
72,3,254,7,43680,54.69,1508,86.04,720,22,15,1566,0,3328,0,86.04,0,37584,1,3,0
73,3,284,7,43680,54.69,1508,84.4,720,22,15,1536,0,3328,0,84.4,0,36864,1,3,0
74,3,287,6,43680,54.69,1508,84.23,696,21,15,1533,0,3328,0,84.23,0,36792,1,3,0
75,3,261,6,43680,54.69,1508,85.66,696,21,15,1559,0,3328,0,85.66,0,37416,1,3,0
76,3,206,6,43680,54.69,1508,88.68,696,21,15,1614,0,3328,0,88.68,0,38736,1,3,0
77,3,236,6,43680,54.69,1508,87.03,696,21,15,1584,0,3328,0,87.03,0,38016,1,3,0
78,3,182,6,43680,54.69,1508,90,696,21,15,1638,0,3328,0,90,0,39312,1,3,0
79,3,151,6,43656,54.66,1509,91.7,696,21,15,1668,0,3328,0,91.7,0,40032,1,3,0
80,3,153,6,43680,54.69,1508,91.59,696,21,15,1667,0,3328,0,91.59,0,40008,1,3,0
81,3,228,6,43680,54.69,1508,87.47,696,21,15,1592,0,3328,0,87.47,0,38208,1,3,0
82,3,262,6,43680,54.69,1508,85.6,696,21,15,1558,0,3328,0,85.6,0,37392,1,3,0
83,3,296,6,43656,54.66,1509,83.73,696,21,15,1523,0,3328,0,83.73,0,36552,1,3,0
84,3,298,6,43680,54.69,1508,83.63,696,21,15,1522,0,3328,0,83.63,0,36528,1,3,0
85,3,301,6,43680,54.69,1508,83.46,696,21,15,1519,0,3328,0,83.46,0,36456,1,3,0
86,3,368,6,43632,54.63,1510,79.76,696,21,15,1450,0,3328,0,79.76,0,34800,1,3,0
87,3,337,6,43632,54.63,1510,81.46,696,21,15,1481,0,3328,0,81.46,0,35544,1,3,0
88,3,324,6,43584,54.57,1512,82.16,696,21,15,1492,0,3328,0,82.16,0,35808,1,3,0
89,3,278,6,43560,54.54,1513,84.68,696,21,15,1537,0,3328,0,84.68,0,36888,1,3,0
90,3,288,6,43584,54.57,1512,84.14,696,21,15,1528,0,3328,0,84.14,0,36672,1,3,0
91,3,290,6,43584,54.57,1512,84.03,696,21,15,1526,0,3328,0,84.03,0,36624,1,3,0
92,3,249,6,43392,54.33,1520,86.23,696,21,15,1559,0,3328,0,86.23,0,37416,1,3,0
93,3,243,6,43392,54.33,1520,86.56,696,21,15,1565,0,3328,0,86.56,0,37560,1,3,0
94,3,268,6,43392,54.33,1520,85.18,696,21,15,1540,0,3328,0,85.18,0,36960,1,3,0
95,3,274,6,43392,54.33,1520,84.85,696,21,15,1534,0,3328,0,84.85,0,36816,1,3,0
96,3,259,6,43392,54.33,1520,85.67,696,21,15,1549,0,3328,0,85.67,0,37176,1,3,0
97,3,315,6,43392,54.33,1520,82.58,696,21,15,1493,0,3328,0,82.58,0,35832,1,3,0
98,3,310,6,43392,54.33,1520,82.85,696,21,15,1498,0,3328,0,82.85,0,35952,1,3,0
99,3,9,7,43320,54.24,1523,99.5,720,22,15,1796,0,3328,0,99.5,0,43104,1,3,0
100,3,85,7,43320,54.24,1523,95.29,720,22,15,1720,0,3328,0,95.29,0,41280,1,3,0
101,3,277,7,43296,54.21,1524,84.65,720,22,15,1527,0,3328,0,84.65,0,36648,1,3,0
102,3,270,8,43320,54.24,1523,85.04,744,23,15,1535,0,3328,0,85.04,0,36840,1,3,0
103,3,270,9,43320,54.24,1523,85.04,768,24,15,1535,0,3328,0,85.04,0,36840,1,3,0
104,3,266,9,43320,54.24,1523,85.26,768,24,15,1539,0,3328,0,85.26,0,36936,2,4,0
105,3,194,9,43320,54.24,1523,89.25,768,24,15,1611,0,3328,0,89.25,0,38664,1,3,0
106,3,67,9,42672,53.43,1550,96.23,768,24,15,1711,0,3328,0,96.23,0,41064,1,3,0
107,3,97,9,43296,54.21,1524,94.62,768,24,15,1707,0,3328,0,94.62,0,40968,1,3,0
108,3,93,8,43296,54.21,1524,94.84,192,23,15,1711,0,3328,0,94.84,0,41064,1,3,0
109,3,109,8,43296,54.21,1524,93.96,192,23,15,1695,0,3328,0,93.96,0,40680,1,3,0
110,3,117,8,43296,54.21,1524,93.51,192,23,15,1687,0,3328,0,93.51,0,40488,1,3,0
111,3,203,8,43296,54.21,1524,88.75,192,23,15,1601,0,3328,0,88.75,0,38424,1,3,0
