,runUser,idleNode,pendJob,availableCore,nodeuprate,offNode,cpuutil,pendCore,allJob,runJob,occupyNode,closedNode,allNode,reserveNode,nodeutil,usercount,runCore,penduser,activeUser,label
0,67,73,198,13872,99.6,2,73.38,12978,394,196,415,17,507,0,82.18,0,10179,42,80,0
1,67,75,199,13872,99.6,2,73.12,13274,395,196,413,17,507,0,81.78,0,10143,42,80,0
2,67,76,196,13872,99.6,2,72.95,13154,391,195,412,17,507,0,81.58,0,10119,41,80,0
3,65,71,191,13872,99.6,2,74.01,13034,386,195,417,17,507,0,82.57,0,10267,42,78,0
4,65,78,191,13872,99.6,2,72.6,13034,385,194,410,17,507,0,81.19,0,10071,42,78,0
5,66,67,196,13872,99.6,2,74.7,13382,392,196,421,17,507,0,83.37,0,10363,42,79,0
6,65,70,196,13872,99.6,2,74.16,13358,389,193,418,17,507,0,82.77,0,10287,41,78,0
7,65,77,198,13872,99.6,2,72.74,13502,390,192,411,17,507,0,81.39,0,10091,42,79,0
8,65,84,200,13872,99.6,2,71.62,13622,390,190,404,17,507,0,80,0,9935,42,79,0
9,65,82,200,13872,99.6,2,71.88,13646,390,190,406,17,507,0,80.4,0,9971,43,80,0
10,65,76,198,13872,99.6,2,72.92,13598,391,193,412,17,507,0,81.58,0,10115,44,80,0
11,65,79,195,13872,99.6,2,72.4,13502,386,191,409,17,507,0,80.99,0,10043,42,80,0
12,65,76,187,13872,99.6,2,73,13034,378,191,412,17,507,0,81.58,0,10127,43,80,0
13,63,84,183,13872,99.6,2,71.62,12890,370,187,404,17,507,0,80,0,9935,41,78,0
14,63,85,182,13872,99.6,2,71.27,12842,368,186,403,17,507,0,79.8,0,9887,40,77,0
15,64,84,181,13872,99.6,2,71.45,12794,368,187,404,17,507,0,80,0,9911,40,78,0
16,64,84,184,13872,99.6,2,71.45,12938,371,187,404,17,507,0,80,0,9911,41,78,0
17,64,84,188,13872,99.6,2,71.45,13022,375,187,404,17,507,0,80,0,9911,42,79,0
18,65,84,186,13872,99.6,2,71.45,12950,373,187,404,17,507,0,80,0,9911,39,78,0
19,67,82,185,13872,99.6,2,72.25,12854,374,189,406,17,507,0,80.4,0,10023,39,79,0
20,67,82,185,13872,99.6,2,72.25,12854,374,189,406,17,507,0,80.4,0,10023,40,79,0
21,67,79,182,13872,99.6,2,72.77,12758,372,190,409,17,507,0,80.99,0,10095,40,78,0
22,66,75,184,13872,99.6,2,73.12,12806,375,191,413,17,507,0,81.78,0,10143,40,77,0
23,66,76,190,13872,99.6,2,72.95,13070,380,190,412,17,507,0,81.58,0,10119,41,77,0
24,64,80,192,13872,99.6,2,71.73,13374,379,187,408,17,507,0,80.79,0,9951,42,76,0
25,64,80,193,13872,99.6,2,71.73,13470,380,187,408,17,507,0,80.79,0,9951,42,76,0
26,65,71,192,13872,99.6,2,72.97,13374,380,188,417,17,507,0,82.57,0,10123,41,77,0
27,65,71,192,13872,99.6,2,72.97,13398,380,188,417,17,507,0,82.57,0,10123,43,77,0
28,64,77,192,13872,99.6,2,72.25,13470,381,189,411,17,507,0,81.39,0,10023,44,76,0
29,64,78,192,13872,99.6,2,72.08,13422,380,188,410,17,507,0,81.19,0,9999,45,77,0
30,64,78,206,13872,99.6,2,72.08,14810,394,188,410,17,507,0,81.19,0,9999,45,77,0
31,64,78,199,13872,99.6,2,72.08,14542,387,188,410,17,507,0,81.19,0,9999,45,77,0
32,64,72,191,13872,99.6,2,72.14,14302,380,189,416,17,507,0,82.38,0,10007,43,77,0
33,66,74,192,13872,99.6,2,72.77,14362,382,190,414,17,507,0,81.98,0,10095,43,78,0
34,66,74,192,13872,99.6,2,72.77,14242,382,190,414,17,507,0,81.98,0,10095,43,78,0
35,66,68,200,13872,99.6,2,72.95,14434,391,191,420,17,507,0,83.17,0,10119,43,78,0
36,66,67,203,13872,99.6,2,73.03,14470,395,192,421,17,507,0,83.37,0,10131,43,78,0
37,65,69,202,13872,99.6,2,72.69,14398,393,191,419,17,507,0,82.97,0,10083,43,78,0
38,66,65,210,13872,99.6,2,73.38,14482,404,194,423,17,507,0,83.76,0,10179,43,78,0
39,66,66,211,13872,99.6,2,73.21,14482,404,193,422,17,507,0,83.56,0,10155,44,78,0
40,66,66,210,13872,99.6,2,73.21,14434,403,193,422,17,507,0,83.56,0,10155,44,78,0
41,65,67,203,13872,99.6,2,72.34,13318,395,192,421,17,507,0,83.37,0,10035,43,77,0
42,65,64,212,13872,99.6,2,73.21,13558,405,193,424,17,507,0,83.96,0,10155,42,78,0
43,65,68,220,13872,99.6,2,72.51,13726,411,191,420,17,507,0,83.17,0,10059,42,78,0
44,64,70,222,13872,99.6,2,71.82,13774,412,190,418,17,507,0,82.77,0,9963,42,77,0
45,64,70,222,13872,99.6,2,71.82,13762,412,190,418,17,507,0,82.77,0,9963,42,77,0
46,0,11,0,88,23.91,35,0,0,0,0,0,0,46,0,0,0,0,0,0,1
47,64,69,225,13872,99.6,2,71.99,13834,415,190,419,17,507,0,82.97,0,9987,43,78,0
48,65,68,224,13872,99.6,2,72.51,13786,415,191,420,17,507,0,83.17,0,10059,42,79,0
49,65,68,224,13872,99.6,2,71.99,13786,414,190,420,17,507,0,83.17,0,9987,42,79,0
50,64,69,219,13872,99.6,2,71.47,13642,409,190,419,17,507,0,82.97,0,9915,42,78,0
51,64,69,219,13872,99.6,2,71.47,13642,409,190,419,17,507,0,82.97,0,9915,42,78,0
52,64,69,218,13872,99.6,2,71.47,13618,408,190,419,17,507,0,82.97,0,9915,42,78,0
53,64,69,218,13872,99.6,2,71.47,13618,408,190,419,17,507,0,82.97,0,9915,42,78,0
54,64,69,217,13872,99.6,2,71.47,13570,407,190,419,17,507,0,82.97,0,9915,41,78,0
55,64,69,216,13872,99.6,2,71.47,13546,406,190,419,17,507,0,82.97,0,9915,41,78,0
56,64,70,215,13872,99.6,2,71.3,13522,404,189,418,17,507,0,82.77,0,9891,41,78,0
57,64,71,213,13872,99.6,2,71.13,13474,401,188,417,17,507,0,82.57,0,9867,41,78,0
58,64,71,213,13872,99.6,2,71.13,13474,401,188,417,17,507,0,82.57,0,9867,41,78,0
59,65,70,211,13872,99.6,2,71.22,13390,399,188,418,17,507,0,82.77,0,9879,40,78,0
60,65,72,211,13872,99.6,2,70.87,13390,398,187,416,17,507,0,82.38,0,9831,40,78,0
61,65,72,211,13872,99.6,2,70.87,13390,398,187,416,17,507,0,82.38,0,9831,40,78,0
62,63,73,210,13872,99.6,2,70.35,13366,396,186,415,17,507,0,82.18,0,9759,40,76,0
63,63,73,214,13872,99.6,2,70.35,13462,400,186,415,17,507,0,82.18,0,9759,40,76,0
64,63,73,210,13872,99.6,2,70.35,13366,396,186,415,17,507,0,82.18,0,9759,40,76,0
65,63,73,210,13872,99.6,2,70.35,13366,396,186,415,17,507,0,82.18,0,9759,40,76,0
66,63,73,208,13872,99.6,2,70.35,13318,394,186,415,17,507,0,82.18,0,9759,40,76,0
67,63,73,206,13872,99.6,2,70.35,13270,392,186,415,17,507,0,82.18,0,9759,40,76,0
68,63,73,206,13872,99.6,2,70.35,13270,392,186,415,17,507,0,82.18,0,9759,40,76,0
69,63,73,206,13872,99.6,2,70.35,13270,392,186,415,17,507,0,82.18,0,9759,40,76,0
70,63,73,205,13872,99.6,2,70.35,13246,391,186,415,17,507,0,82.18,0,9759,40,76,0
71,63,73,205,13872,99.6,2,70.35,13246,391,186,415,17,507,0,82.18,0,9759,40,76,0
72,63,73,205,13872,99.6,2,70.35,13246,391,186,415,17,507,0,82.18,0,9759,40,76,0
73,63,73,202,13872,99.6,2,70.35,13174,388,186,415,17,507,0,82.18,0,9759,40,76,0
74,63,73,200,13872,99.6,2,70.35,13126,386,186,415,17,507,0,82.18,0,9759,40,76,0
75,63,73,199,13872,99.6,2,70.35,13102,385,186,415,17,507,0,82.18,0,9759,40,76,0
76,63,73,199,13872,99.6,2,70.35,13102,385,186,415,17,507,0,82.18,0,9759,40,76,0
77,63,83,199,13872,99.6,2,70.06,13102,384,185,405,17,507,0,80.2,0,9719,40,76,0
78,62,85,197,13872,99.6,2,69.8,13054,382,185,403,17,507,0,79.8,0,9683,40,75,0
79,62,85,196,13872,99.6,2,69.8,13030,381,185,403,17,507,0,79.8,0,9683,40,75,0
80,62,85,196,13872,99.6,2,69.8,13030,381,185,403,17,507,0,79.8,0,9683,40,75,0
81,62,85,195,13872,99.6,2,69.8,13006,380,185,403,17,507,0,79.8,0,9683,40,75,0
82,62,85,191,13872,99.6,2,69.8,12862,376,185,403,17,507,0,79.8,0,9683,40,75,0
83,62,85,191,13872,99.6,2,69.8,12862,376,185,403,17,507,0,79.8,0,9683,40,75,0
84,62,85,188,13872,99.6,2,69.8,12790,373,185,403,17,507,0,79.8,0,9683,40,75,0
85,62,87,186,13872,99.6,2,69.46,12742,369,183,401,17,507,0,79.41,0,9635,40,75,0
86,62,87,185,13872,99.6,2,69.46,12718,368,183,401,17,507,0,79.41,0,9635,40,75,0
87,62,88,185,13872,99.6,2,69.28,12718,367,182,400,17,507,0,79.21,0,9611,40,75,0
88,62,87,183,13872,99.6,2,69.46,12574,365,182,401,17,507,0,79.41,0,9635,40,75,0
89,62,87,182,13872,99.6,2,69.46,12478,364,182,401,17,507,0,79.41,0,9635,40,75,0
90,62,87,181,13872,99.6,2,69.46,12454,363,182,401,17,507,0,79.41,0,9635,40,75,0
91,61,85,188,13872,99.6,2,69.8,12622,371,183,403,17,507,0,79.8,0,9683,40,75,0
92,61,93,187,13872,99.6,2,69.28,12574,368,181,395,17,507,0,78.22,0,9611,40,75,0
93,61,93,188,13872,99.6,2,69.28,12598,369,181,395,17,507,0,78.22,0,9611,40,75,0
94,61,93,187,13872,99.6,2,69.28,12514,368,181,395,17,507,0,78.22,0,9611,39,75,0
95,61,93,186,13872,99.6,2,69.28,12490,367,181,395,17,507,0,78.22,0,9611,39,75,0
96,62,91,186,13872,99.6,2,69.8,12467,367,181,397,17,507,0,78.61,0,9682,39,75,0
97,62,91,186,13872,99.6,2,69.8,12467,367,181,397,17,507,0,78.61,0,9682,39,75,0
98,62,91,187,13872,99.6,2,69.8,12611,368,181,397,17,507,0,78.61,0,9682,40,75,0
99,62,93,188,13872,99.21,4,69.62,12659,368,180,393,17,507,0,78.13,0,9658,40,75,0
100,63,88,189,13872,99.6,2,70.67,12743,373,184,400,17,507,0,79.21,0,9803,42,76,0
101,64,87,189,13872,99.6,2,71.19,12779,374,185,401,17,507,0,79.41,0,9875,41,76,0
102,63,65,190,13872,99.6,2,72.31,12827,378,188,423,17,507,0,83.76,0,10031,41,75,0
103,63,65,188,13872,99.6,2,72.31,12779,376,188,423,17,507,0,83.76,0,10031,41,75,0
104,62,61,192,13872,99.6,2,73,12963,382,190,427,17,507,0,84.55,0,10127,42,74,0
105,63,61,200,13872,99.6,2,73.35,13203,390,190,427,17,507,0,84.55,0,10175,42,75,0
106,63,59,202,13872,99.6,2,73.7,13395,393,191,429,17,507,0,84.95,0,10223,43,75,0
107,62,56,204,13872,99.6,2,73.55,13377,393,189,432,17,507,0,85.54,0,10203,43,75,0
108,62,57,203,13872,99.6,2,73.55,13305,392,189,431,17,507,0,85.35,0,10203,43,75,0
109,62,57,204,13872,99.6,2,73.55,13257,393,189,431,17,507,0,85.35,0,10203,43,75,0
110,62,55,205,13848,99.41,3,73.85,13281,394,189,432,17,507,0,85.71,0,10227,43,75,0
111,63,49,227,13848,99.41,3,74.89,13803,419,192,438,17,507,0,86.9,0,10371,42,75,0
112,63,49,228,13848,99.41,3,74.89,14059,420,192,438,17,507,0,86.9,0,10371,43,75,0
113,63,51,226,13848,99.41,3,74.89,13987,419,193,436,17,507,0,86.51,0,10371,43,75,0
114,63,51,224,13848,99.41,3,74.89,13915,417,193,436,17,507,0,86.51,0,10371,43,75,0
115,63,49,222,13848,99.41,3,75.24,13843,416,194,438,17,507,0,86.9,0,10419,44,76,0
116,64,54,221,13848,99.41,3,74.37,13795,413,192,433,17,507,0,85.91,0,10299,43,76,0
